TIME,OPEN1,CLOSE1,LOW1,HIGH1,OPEN2,CLOSE2,LOW2,HIGH2,MA20
2022.10.21 09:27,118650.00,118650.00,118630.00,118665.00,118645.00,118645.00,118590.00,118670.00,118684.25
2022.10.21 09:28,118645.00,118645.00,118590.00,118670.00,118645.00,118680.00,118620.00,118690.00,118684.75
2022.10.21 09:29,118645.00,118680.00,118620.00,118690.00,118680.00,118700.00,118675.00,118730.00,118682.25
2022.10.21 09:30,118680.00,118700.00,118675.00,118730.00,118700.00,118635.00,118615.00,118700.00,118672.00
2022.10.21 09:31,118700.00,118635.00,118615.00,118700.00,118630.00,118570.00,118565.00,118635.00,118658.25
2022.10.21 09:32,118630.00,118570.00,118565.00,118635.00,118565.00,118580.00,118540.00,118615.00,118650.75
2022.10.21 09:33,118630.00,118570.00,118565.00,118635.00,118565.00,118580.00,118540.00,118615.00,118650.00
2022.10.21 09:34,118575.00,118560.00,118540.00,118595.00,118560.00,118535.00,118500.00,118575.00,118630.00
2022.10.21 09:35,118560.00,118535.00,118500.00,118575.00,118530.00,118595.00,118500.00,118600.00,118629.00
2022.10.21 09:36,118530.00,118595.00,118500.00,118600.00,118595.00,118540.00,118540.00,118670.00,118619.50
2022.10.21 09:37,118595.00,118540.00,118540.00,118670.00,118545.00,118555.00,118510.00,118565.00,118616.25
2022.10.21 09:38,118545.00,118555.00,118510.00,118565.00,118560.00,118575.00,118550.00,118625.00,118617.00
2022.10.21 09:39,118560.00,118575.00,118550.00,118625.00,118570.00,118545.00,118510.00,118585.00,118611.50
2022.10.21 09:40,118570.00,118545.00,118510.00,118585.00,118550.00,118550.00,118515.00,118575.00,118608.00
2022.10.21 09:41,118550.00,118550.00,118515.00,118575.00,118545.00,118520.00,118500.00,118570.00,118597.75
2022.10.21 09:42,118545.00,118520.00,118500.00,118570.00,118520.00,118545.00,118500.00,118560.00,118589.00
2022.10.21 09:43,118520.00,118545.00,118500.00,118560.00,118540.00,118545.00,118515.00,118550.00,118586.25
2022.10.21 09:44,118540.00,118545.00,118515.00,118550.00,118545.00,118605.00,118535.00,118615.00,118586.50
2022.10.21 09:45,118545.00,118605.00,118535.00,118615.00,118605.00,118590.00,118565.00,118610.00,118583.25
2022.10.21 09:46,118605.00,118590.00,118565.00,118610.00,118595.00,118525.00,118515.00,118605.00,118573.50
2022.10.21 09:47,118595.00,118525.00,118515.00,118605.00,118520.00,118450.00,118445.00,118545.00,118558.25
2022.10.21 09:48,118520.00,118450.00,118445.00,118545.00,118450.00,118440.00,118405.00,118455.00,118544.75
2022.10.21 09:49,118450.00,118440.00,118405.00,118455.00,118440.00,118400.00,118395.00,118455.00,118531.50
2022.10.21 09:50,118450.00,118440.00,118405.00,118455.00,118440.00,118400.00,118395.00,118455.00,118531.50
2022.10.21 09:51,118405.00,118405.00,118385.00,118440.00,118405.00,118310.00,118305.00,118420.00,118505.00
2022.10.21 09:52,118405.00,118310.00,118305.00,118420.00,118310.00,118370.00,118310.00,118380.00,118498.50
2022.10.21 09:53,118310.00,118370.00,118310.00,118380.00,118370.00,118390.00,118350.00,118410.00,118492.25
2022.10.21 09:54,118370.00,118390.00,118350.00,118410.00,118390.00,118385.00,118280.00,118400.00,118481.50
2022.10.21 09:55,118370.00,118390.00,118350.00,118410.00,118390.00,118385.00,118280.00,118400.00,118482.00
2022.10.21 09:56,118385.00,118395.00,118355.00,118420.00,118390.00,118395.00,118305.00,118400.00,118466.75
2022.10.21 09:57,118390.00,118395.00,118305.00,118400.00,118395.00,118485.00,118380.00,118485.00,118466.50
2022.10.21 09:58,118395.00,118485.00,118380.00,118485.00,118485.00,118550.00,118465.00,118560.00,118470.00
2022.10.21 09:59,118485.00,118550.00,118465.00,118560.00,118545.00,118680.00,118545.00,118720.00,118483.50
2022.10.21 10:00,118545.00,118680.00,118545.00,118720.00,118680.00,118620.00,118605.00,118690.00,118484.75
2022.10.21 10:01,118680.00,118620.00,118605.00,118690.00,118620.00,118775.00,118610.00,118795.00,118504.75
2022.10.21 10:02,118620.00,118775.00,118610.00,118795.00,118780.00,118870.00,118760.00,118910.00,118525.50
2022.10.21 10:03,118780.00,118870.00,118760.00,118910.00,118870.00,118950.00,118840.00,118980.00,118546.75
2022.10.21 10:04,118780.00,118870.00,118760.00,118910.00,118870.00,118950.00,118840.00,118980.00,118544.50
2022.10.21 10:05,118950.00,118905.00,118845.00,119000.00,118905.00,118840.00,118820.00,118960.00,118572.50
2022.10.21 10:06,118905.00,118840.00,118820.00,118960.00,118840.00,118870.00,118830.00,118930.00,118595.50
2022.10.21 10:07,118840.00,118870.00,118830.00,118930.00,118870.00,119010.00,118860.00,119030.00,118630.50
2022.10.21 10:08,118870.00,119010.00,118860.00,119030.00,119005.00,119065.00,118965.00,119095.00,118666.50
2022.10.21 10:09,118870.00,119010.00,118860.00,119030.00,119005.00,119065.00,118965.00,119095.00,118668.25
2022.10.21 10:10,119065.00,119095.00,119035.00,119145.00,119095.00,119090.00,119045.00,119175.00,118741.75
2022.10.21 10:11,119095.00,119090.00,119045.00,119175.00,119095.00,118990.00,118975.00,119155.00,118767.25
2022.10.21 10:12,119095.00,118990.00,118975.00,119155.00,118990.00,118905.00,118885.00,119030.00,118788.75
2022.10.21 10:13,118990.00,118905.00,118885.00,119030.00,118900.00,118915.00,118880.00,118965.00,118815.75
2022.10.21 10:14,118990.00,118905.00,118885.00,119030.00,118900.00,118915.00,118880.00,118965.00,118808.50
2022.10.21 10:15,118910.00,118765.00,118755.00,118920.00,118770.00,118795.00,118725.00,118840.00,118848.75
